"X","Area","Perim.","Major","Minor","Predicted_Brand"
8649,253582.017,1899.951,592.846,544.611,"BL-C(2)"
43873,473549.557,2632.112,812.047,742.496,"Bullseye"
8541,186103.327,1615.248,505.276,468.96,"BL-C(2)"
8722,274210.217,1960.63,623.5,559.96,"H335"
43947,540029.301,2810.303,841.422,817.172,"Bullseye"
75770,1395879.809,4904.244,1596.727,1113.083,"Reloader23"
8665,251634.075,1878.247,599.678,534.271,"H335"
75702,1145987.16,4322.37,1382.88,1055.129,"RedDot"
75745,1348875.693,5118.23,1552.313,1106.376,"Reloader23"
75811,1334213.09,4935.384,1655.571,1026.095,"Reloader23"
8553,208629.522,1693.491,528.125,502.978,"BL-C(2)"
75825,1342256.575,4896.93,1685.182,1014.142,"RedDot"
75714,1265005.603,4677.135,1458.382,1104.412,"RedDot"
8662,265869.032,1918.226,598.122,565.963,"BL-C(2)"
8605,221266.168,1764.165,568.709,495.376,"H335"
8692,280753.302,1974.054,610.32,585.703,"BL-C(2)"
8528,151090.329,1443.918,443.174,434.083,"H335"
75761,1283019.658,4747.603,1585.876,1030.088,"RedDot"
75784,1414941.192,4794.29,1613.857,1116.306,"Reloader23"
75754,1318293.692,4837.567,1573.273,1066.887,"RedDot"
43889,492579.446,2653.817,820.431,764.442,"Bullseye"
75840,1502162.734,5112.172,1715.06,1115.187,"Reloader23"
8671,276657.63,1978.194,602.581,584.571,"BL-C(2)"
8615,248787.084,1856.542,571.827,553.954,"BL-C(2)"
8756,291941.479,2013.028,633.777,586.502,"H335"
75720,1267058.368,4726.155,1477.059,1092.217,"RedDot"
43915,520100.362,2821.302,828.624,799.171,"Bullseye"
43938,548420.434,2817.872,837.97,833.288,"Bullseye"
8534,183256.336,1594.549,488.915,477.239,"H335"
43912,514006.802,2721.355,826.995,791.364,"Bullseye"
8678,243692.468,1858.257,604.34,513.418,"H335"
43856,506964.244,2715.5,806.805,800.053,"Bullseye"
75758,1240833.255,4733.626,1580.65,999.512,"RedDot"
8542,184405.122,1601.114,506.654,463.416,"H335"
75709,1178957.07,4614.361,1432.976,1047.536,"RedDot"
43898,477994.859,2718.635,823.375,739.155,"Bullseye"
75735,1355662.383,4811.296,1532.1,1126.613,"Reloader23"
75790,1359013.835,4968.745,1621.994,1066.805,"Reloader23"
43870,439385.661,2589.708,811.563,689.341,"H335"
8586,238248.221,1819.993,559.028,542.633,"BL-C(2)"
43894,514805.957,2745.484,821.952,797.457,"Bullseye"
8567,204334.061,1695.206,540.264,481.554,"H335"
75820,1397178.496,4979.311,1674.115,1062.617,"Reloader23"
43875,510610.391,2706.215,813.307,799.366,"Bullseye"
75823,1384024.047,5001.949,1683.066,1047.014,"Reloader23"
75701,1228390.989,4596.974,1377.933,1135.059,"Reloader23"
75750,1296634.933,4750.474,1563.313,1056.044,"RedDot"
8634,254181.383,1874.107,583.778,554.379,"BL-C(2)"
8655,242144.104,1862.397,595.129,518.051,"H335"
8698,255679.8,1924.08,611.445,532.414,"H335"
8648,264120.879,1917.515,592.766,567.322,"BL-C(2)"
75751,1353902.871,4920.868,1563.949,1102.237,"Reloader23"
75695,1103926.436,5732.499,1241.862,1131.819,"Reloader23"
8545,191098.049,1656.942,514.979,472.473,"BL-C(2)"
8639,261024.152,1902.376,588.159,565.062,"BL-C(2)"
