"X","Area","Perim.","Major","Minor","Predicted_Brand"
18375,1142724.177,4724.1233,1615.2073,900.7894,"Bullseye"
451,985135.352,4636.6354,1247.0834,1005.7975,"Bullseye"
474,1132710.721,4496.6107,1280.8601,1125.9716,"Bullseye"
18425,1682835.253,5604.3088,1898.1757,1128.7956,"Reloader23"
18405,1892543.299,5418.8295,1711.5228,1407.9047,"RedDot"
62550,622610.805,2945.068,901.555,879.295,"Bullseye"
543,1516217.901,5151.4819,1592.4782,1212.2669,"RedDot"
62540,517874.35,2887.099,893.947,737.603,"BL-C(2)"
18411,1529227.187,6147.622,1759.6681,1106.4998,"Reloader23"
397,819256.6978,3855.5727,1187.0123,878.7693,"Bullseye"
62589,644664.496,3206.149,969.254,846.849,"Bullseye"
407,1032042.651,3906.5553,1201.7171,1093.4666,"Bullseye"
521,1189590.437,4388.649,1378.289,1098.923,"Bullseye"
490,1195828.328,4522.3457,1304.4202,1167.2435,"Bullseye"
62538,544985.037,2836.626,891.248,778.567,"BL-C(2)"
282,817656.1863,3753.8287,1079.4798,964.4203,"Bullseye"
18406,1769303.913,5725.3037,1714.2498,1314.1304,"RedDot"
524,1300271.964,4610.8546,1390.2336,1190.8486,"Bullseye"
62617,801725.789,3556.813,1095.922,931.443,"Bullseye"
18436,1989928.268,6697.2632,2088.5312,1213.1278,"Reloader23"
475,1010415.226,4117.1258,1282.0376,1003.4812,"Bullseye"
18353,1696624.275,5678.9844,1532.888,1409.2413,"RedDot"
404,1035366.79,3864.8991,1199.9311,1098.6213,"Bullseye"
62584,629731.514,3009.598,960.69,834.607,"Bullseye"
18435,1988081.524,7423.4345,2071.5523,1221.9359,"Reloader23"
460,1164474.718,4468.6316,1260.6629,1176.0917,"Bullseye"
18431,2209567.694,5990.7656,2005.3449,1402.9053,"RedDot"
366,875561.8719,3994.687,1161.9815,959.3957,"Bullseye"
508,1371351.09,4617.2284,1340.187,1302.8469,"RedDot"
18378,1556435.883,5285.5557,1623.5882,1220.5778,"RedDot"
533,980333.8175,4123.9872,1438.9296,867.4502,"Bullseye"
541,1326988.194,4873.8515,1532.5459,1102.4621,"Bullseye"
545,998513.9866,4536.7124,1660.6498,765.5723,"Bullseye"
478,1192093.802,4424.2438,1282.7793,1183.2284,"Bullseye"
62561,533652.076,2793.426,917.278,740.743,"H335"
423,1070537.004,4107.7994,1212.0681,1124.5656,"Bullseye"
18384,1124954.396,5501.5438,1646.806,869.7664,"Bullseye"
18403,1541661.93,5395.1365,1694.5582,1158.358,"Bullseye"
467,1254144.401,4493.3456,1270.7223,1256.6288,"RedDot"
401,1003725.909,3965.8431,1192.377,1071.7948,"Bullseye"
506,1343157.465,4771.4636,1338.6684,1277.5092,"RedDot"
290,844249.3006,3713.0831,1085.623,990.1518,"Bullseye"
62582,634933.352,3037.013,949.715,851.227,"Bullseye"
18286,1206170.095,4915.0201,1384.2615,1109.4316,"Bullseye"
62598,766002.666,3604.254,997.29,977.955,"Bullseye"
455,1073902.183,3982.1414,1254.7187,1089.754,"Bullseye"
511,951032.1452,4069.3625,1345.9875,899.6307,"Bullseye"
18434,1750795.434,5638.616,2058.3587,1082.9901,"Reloader23"
427,1094626.755,4250.5558,1212.8311,1149.1477,"Bullseye"
419,903098.8775,3713.8374,1208.9304,951.1393,"Bullseye"
18343,1390146.841,4619.5371,1510.7987,1171.5591,"Bullseye"
435,940485.1848,3726.5392,1229.2983,974.1028,"Bullseye"
304,918693.6051,3643.4478,1094.9872,1068.2472,"Bullseye"
433,1096555.576,4294.033,1225.9558,1138.8485,"Bullseye"
537,995846.4674,4301.1611,1485.6951,853.4396,"Bullseye"
528,1223324.295,4458.9281,1399.2725,1113.1391,"Bullseye"
500,1020880.109,4050.866,1325.0297,980.9779,"Bullseye"
358,849050.8351,3743.6375,1152.9536,937.631,"Bullseye"
18416,1369217.075,5671.6354,1822.0851,956.7837,"Bullseye"
494,1064914.695,3999.3501,1316.2152,1030.1443,"Bullseye"
539,1136157.976,4464.5018,1505.4793,960.8908,"Bullseye"
62624,977442.8,4134.617,1421.757,875.338,"Bullseye"
535,1200999.212,4386.1841,1457.3101,1049.3029,"Bullseye"
484,962522.9971,4202.4154,1293.2783,947.6092,"Bullseye"
18402,2235873.537,5919.1988,1693.4706,1681.0464,"RedDot"
481,1029621.364,4219.3575,1292.1781,1014.5309,"Bullseye"
527,1046652.448,4020.8449,1399.1335,952.4747,"Bullseye"
241,788436.5916,3548.3442,1036.4787,968.5377,"Bullseye"
491,1027856.698,4012.1624,1307.7156,1000.7588,"Bullseye"
62600,525133.086,2853.416,1000.21,668.48,"H335"
409,1036803.147,4118.5697,1202.7597,1097.5582,"Bullseye"
62595,614988.636,3055.645,991.429,789.797,"Bullseye"
18303,1202066.219,4357.0735,1420.251,1077.6392,"Bullseye"
453,1018992.326,3918.3465,1250.7194,1037.34,"Bullseye"
18398,2036219.986,5826.7811,1683.5444,1539.9628,"RedDot"
62610,697929.863,3221.45,1039.35,854.988,"Bullseye"
18437,2352546.722,6748.7791,2123.4597,1410.6016,"RedDot"
538,1507887.033,4920.4376,1490.115,1288.425,"RedDot"
62619,771739.92,3431.917,1198.387,819.944,"Bullseye"
454,987597.6774,3876.157,1253.9241,1002.8106,"Bullseye"
62500,470719.042,2594.141,840.575,713.01,"H335"
351,949595.7888,3937.7536,1149.3196,1051.9815,"Bullseye"
472,1133531.496,4138.3539,1276.3449,1130.7736,"Bullseye"
469,1166198.346,4342.4401,1271.9578,1167.3736,"Bullseye"
62563,584312.387,2958.524,920.01,808.654,"Bullseye"
62571,590216.589,2891.853,934.074,804.526,"Bullseye"
462,1079278.26,4486.4842,1262.8612,1088.1479,"Bullseye"
18420,2583964.27,6512.584,1853.1259,1775.3815,"RedDot"
62602,726856.208,3479.124,1010.312,916.016,"Bullseye"
18374,1524179.42,6503.9015,1608.4882,1206.5028,"RedDot"
18415,1629895.257,5343.5101,1813.0826,1144.596,"Bullseye"
18421,2091786.462,6159.1008,1853.2134,1437.1498,"RedDot"
262,782362.8557,3474.423,1055.8816,943.4158,"Bullseye"
18438,1317877.59,6014.9463,2136.304,785.4565,"Reloader23"
62612,757753.855,3487.278,1049.022,919.716,"Bullseye"
507,1285580.089,4654.7547,1339.582,1221.9121,"RedDot"
18332,1004341.49,4204.6136,1487.3519,859.7611,"Bullseye"
470,1194391.972,4601.6845,1272.6417,1194.953,"Bullseye"
62597,745668.707,3287.993,995.342,953.858,"Bullseye"
62622,1034163.824,4173.856,1282.364,1026.806,"Bullseye"
62439,454973.247,2582.703,780.445,742.256,"BL-C(2)"
62613,844961.229,3646.425,1058.329,1016.544,"Bullseye"
18428,2011473.616,6874.7038,1944.3339,1317.2057,"RedDot"
402,996995.5526,3853.7517,1193.3342,1063.7541,"Bullseye"
459,1129099.31,4127.7398,1260.1901,1140.7913,"Bullseye"
62611,705904.137,3207.749,1042.654,862.016,"Bullseye"
62569,666488.418,3057.658,932.278,910.243,"Bullseye"
530,1468202.556,4878.6709,1420.5867,1315.9165,"RedDot"
544,1448380.836,4968.578,1592.604,1157.9374,"Bullseye"
303,853400.9433,3556.2267,1093.8475,993.3595,"Bullseye"
501,1333061.93,4710.6671,1329.7412,1276.4192,"RedDot"
18392,1444441.116,4835.5251,1668.2606,1102.4174,"Bullseye"
62580,546840.434,2834.196,949.012,733.667,"BL-C(2)"
62621,1067003.278,4310.609,1276.15,1064.569,"Bullseye"
18347,1700194.647,5061.9062,1517.4981,1426.529,"RedDot"
62620,690708.861,3360.108,1247.287,705.08,"Bullseye"
323,951155.2615,3924.6746,1115.7784,1085.3845,"Bullseye"
504,948036.316,4121.1451,1337.0325,902.8033,"Bullseye"
18430,1756951.247,5793.1179,1959.6001,1141.5696,"Reloader23"
62537,524525.533,2746.2,890.891,749.639,"H335"
514,1346112.255,4713.6197,1352.6084,1267.1246,"RedDot"
542,997816.3278,4660.0618,1586.9639,800.5596,"Bullseye"
18418,1767949.634,5452.6033,1827.9959,1231.416,"RedDot"
408,1010907.691,3875.8903,1202.5802,1070.305,"Bullseye"
18413,1550321.108,5708.7388,1786.9852,1104.6147,"Reloader23"
471,1098320.243,4157.7609,1275.5898,1096.2966,"Bullseye"
18432,1580566.671,5851.8723,2028.7567,991.9573,"Reloader23"
483,1172354.16,4291.7243,1293.1676,1154.2879,"Bullseye"
415,1054860.199,3882.485,1205.2648,1114.3524,"Bullseye"
495,1071357.78,4625.488,1316.3318,1036.2851,"Bullseye"
62623,881825.464,3828.988,1373.324,817.56,"Bullseye"
534,1342500.844,4542.5528,1443.8686,1183.8509,"Bullseye"
62573,678707.65,3094.68,937.56,921.709,"Bullseye"
339,905930.5518,3839.2745,1131.1415,1019.7368,"Bullseye"
346,976517.2131,4077.1345,1140.0448,1090.6065,"Bullseye"
18397,1297809.638,5045.608,1679.1854,984.062,"Bullseye"
62604,702844.156,3172.261,1012.826,883.556,"Bullseye"
268,845849.8121,3776.6112,1064.2425,1011.9587,"Bullseye"
403,1082479.283,4082.8187,1196.8916,1151.5291,"Bullseye"
503,1250450.913,4477.6913,1331.8754,1195.3998,"Bullseye"
18419,1383006.097,5278.5381,1844.4817,954.6845,"Bullseye"
18305,1376439.896,4837.0795,1421.933,1232.5037,"RedDot"
496,1054449.812,4061.2134,1317.1466,1019.2997,"Bullseye"
62557,614583.534,3040.311,913.443,856.662,"Bullseye"
337,913317.5279,3640.7162,1130.12,1028.981,"Bullseye"
413,1058184.339,3939.308,1204.0503,1118.9916,"Bullseye"
18440,1861723.193,8038.3144,2354.6157,1006.7119,"Reloader23"
18281,1303596.103,4335.5787,1367.6537,1213.604,"RedDot"
62626,915963.711,4651.016,1662.868,701.343,"H335"
18298,1261367.223,4930.9411,1398.3449,1148.5168,"Bullseye"
237,767506.8258,3308.507,1034.5002,944.6301,"Bullseye"
536,1267646.152,4291.0805,1478.5922,1091.5905,"Bullseye"
62606,630433.556,3085.272,1026.17,782.222,"Bullseye"
18372,1704216.445,5315.0434,1599.5386,1356.5635,"RedDot"
531,1010538.342,4123.3433,1433.0668,897.8349,"Bullseye"
62489,407735.861,2482.974,832.296,623.751,"H335"
62495,536911.556,2745.783,836.282,817.448,"H335"
18333,1326906.117,4910.0902,1488.6201,1134.9231,"Bullseye"
18424,1875101.827,5499.1893,1887.7361,1264.718,"RedDot"
529,1159426.951,4380.4999,1410.0648,1046.9223,"Bullseye"
62566,487066.587,2739.5,920.931,673.398,"H335"
18348,1233912.294,4341.7963,1518.1088,1034.8836,"Bullseye"
293,856027.4237,3805.8779,1088.6547,1001.1695,"Bullseye"
18433,2096752.152,7527.1101,2034.2912,1312.3331,"RedDot"
62552,555214.048,2806.346,903.471,782.45,"BL-C(2)"
62625,884773.335,3923.167,1431.407,787.008,"Bullseye"
18386,2065398.542,6413.7277,1653.398,1590.5106,"RedDot"
522,1071480.896,4092.0346,1381.0888,987.8089,"Bullseye"
