"X","Area","Perim.","Major","Minor","Predicted_Brand"
61857,999055.659,3894.734,1253.241,1014.998,"RedDot"
61825,913657.286,3695.571,1199.553,969.782,"RedDot"
61717,558173.394,2915.736,956.481,743.024,"Bullseye"
61766,673007.378,3396.141,1109.111,772.6,"Bullseye"
61757,924889.955,3679.985,1092.593,1077.809,"Reloader23"
61811,1027237.623,4080.69,1174.644,1113.46,"Reloader23"
61764,758155.022,3409.592,1106.765,872.193,"Bullseye"
46558,1541970.458,4771.226,1469.188,1336.315,"RedDot"
61761,780770.798,3562.535,1097.399,905.877,"Bullseye"
61815,1087061.616,3910.737,1178.974,1173.978,"Reloader23"
61838,856340.585,3667.246,1226.115,889.253,"Bullseye"
61834,991684.22,4053.371,1215.02,1039.202,"RedDot"
61826,1120358.456,3969.107,1199.659,1189.075,"Reloader23"
61835,962298.755,3822.446,1215.969,1007.622,"RedDot"
46584,1682222.241,4949.416,1563.554,1369.874,"RedDot"
61810,814017.493,3458.953,1168.58,886.922,"Bullseye"
46572,1720781.492,4991.82,1522.636,1438.93,"RedDot"
61779,789947.487,3433.057,1125.468,893.666,"Bullseye"
61805,817778.431,3719.037,1158.111,899.075,"Bullseye"
61844,1104863.39,3952.514,1240.878,1133.678,"Reloader23"
46577,1833712.147,5174.567,1540.681,1515.404,"RedDot"
61759,863661.879,3570.242,1093.58,1005.549,"Bullseye"
61743,767231.42,3624.341,1068.718,914.057,"Bullseye"
61767,901020.533,3549.501,1109.502,1033.991,"Bullseye"
61749,913055.535,3623.039,1079.949,1076.475,"Reloader23"
61795,762868.731,3573.678,1145.843,847.686,"Bullseye"
61796,672054.607,3917.61,1146.344,746.448,"Bullseye"
61773,835028.602,3598.862,1117.081,951.759,"Bullseye"
61817,765476.315,3497.71,1181.726,824.755,"Bullseye"
61706,424584.865,2468.394,781.195,692.015,"H335"
61814,1063643.506,3912.456,1177.788,1149.844,"Reloader23"
61718,737194.059,3218.603,981.667,956.154,"Bullseye"
61853,858346.419,3720.755,1249.579,874.599,"Bullseye"
61756,760411.585,3410.893,1091.376,887.124,"Bullseye"
61829,791702.592,3485.56,1205.764,836.007,"Bullseye"
61752,546639.85,3096.293,1086.147,640.8,"H335"
61824,889787.864,3743.214,1198.648,945.159,"RedDot"
46587,1852791.984,5150.731,1564.391,1507.966,"RedDot"
61751,787891.508,3444.79,1084.595,924.93,"Bullseye"
61856,1076681.426,3971.12,1253.239,1093.864,"Reloader23"
61777,980702.28,4081.992,1121.656,1113.237,"Reloader23"
61843,1172911.301,4188.126,1240.014,1204.339,"Reloader23"
61780,628528.014,3522.182,1125.497,711.034,"Bullseye"
46573,1758491.64,5009.507,1528.032,1465.271,"RedDot"
61712,574871.961,2909.747,912.839,801.839,"Bullseye"
61715,589063.235,2919.467,927.668,808.499,"Bullseye"
61708,482954.628,2710.168,843.76,728.782,"Bullseye"
61783,890840.926,3720.46,1127.88,1005.651,"Bullseye"
61748,648034.748,3183.699,1077.372,765.848,"Bullseye"
61855,973932.591,3938.646,1252.799,989.823,"RedDot"
46563,1585574.378,4755.083,1503.515,1342.731,"RedDot"
46588,1865478.577,5151.442,1565.05,1517.652,"RedDot"
61827,979348.342,3963.24,1202.93,1036.59,"RedDot"
61721,728518.828,3312.466,1001.414,926.27,"Bullseye"
46556,1525188.193,4718.239,1463.287,1327.101,"RedDot"
46579,1598610.601,5335.192,1552.39,1311.149,"RedDot"
61763,692463.966,3249.653,1101.844,800.179,"Bullseye"
61846,945098.73,4133.905,1244.516,966.912,"RedDot"
61808,845910.25,3519.457,1163.782,925.471,"Bullseye"
61828,1120258.165,4044.78,1203.533,1185.142,"Reloader23"
61852,873891.631,3643.78,1248.043,891.535,"Bullseye"
61832,1128080.916,3974.973,1209.241,1187.784,"Reloader23"
61730,703796.927,3615.75,1034.919,865.867,"Bullseye"
61821,864213.483,3609.588,1189.969,924.689,"Bullseye"
61801,831869.413,3534.921,1151.969,919.442,"Bullseye"
46568,841960.223,4889.742,1515.804,707.227,"H335"
61797,806796.491,3699.008,1146.921,895.655,"Bullseye"
61775,968667.277,3800.577,1118.659,1102.521,"Reloader23"
61786,980250.967,3721.467,1131.055,1103.478,"Reloader23"
61842,610676.094,3688.871,1239.038,627.533,"H335"
61731,604959.467,3138.07,1039.457,741.02,"Bullseye"
61822,934417.665,3741.496,1191.085,998.869,"RedDot"
61774,722952.639,3440.347,1118.019,823.324,"Bullseye"
46566,1706796.271,4978.102,1509.551,1439.607,"RedDot"
61745,868124.859,3477.976,1072.229,1030.872,"Bullseye"
61802,975988.57,3765.673,1153.701,1077.113,"Reloader23"
61833,793909.009,3601.587,1214.688,832.178,"Bullseye"
61847,1069861.591,3984.988,1246.246,1093.034,"Reloader23"
61809,876950.528,3551.514,1165.215,958.251,"Bullseye"
46564,1738912.331,4957.402,1504.758,1471.368,"RedDot"
61800,942792.021,4333.779,1150.544,1043.333,"Reloader23"
61754,923385.579,3604.729,1088.948,1079.657,"Reloader23"
61736,854134.168,3586.418,1054.734,1031.082,"Bullseye"
61720,651344.373,3127.465,987.227,840.047,"Bullseye"
46571,1772177.177,5141.741,1522.349,1482.187,"RedDot"
61723,722952.639,3416.465,1005.379,915.567,"Bullseye"
61768,654603.853,3309.029,1110.611,750.458,"Bullseye"
46569,1759890.162,4991.526,1517.909,1476.217,"RedDot"
61837,985917.447,4172.834,1226.068,1023.85,"RedDot"
61850,1058277.901,4046.793,1247.466,1080.143,"RedDot"
61798,714528.137,3654.384,1147.534,792.8,"Bullseye"
61799,854585.481,3588.136,1150.034,946.139,"Bullseye"
61734,750532.854,3324.615,1046.295,913.326,"Bullseye"
61732,639810.829,3136.768,1042.418,781.484,"Bullseye"
61742,787440.195,3498.005,1065.784,940.716,"Bullseye"
61729,720846.514,3395.429,1032.091,889.273,"Bullseye"
46554,1552509.32,4729.949,1427.953,1384.3,"RedDot"
61750,681482.026,3381.266,1084.14,800.349,"Bullseye"
61724,793206.967,3318.749,1011.548,998.413,"Bullseye"
46580,1615043.235,4940.132,1553.202,1323.934,"RedDot"
61823,1113388.184,3991.566,1196.869,1184.431,"Reloader23"
46557,1591667.938,4755.793,1467.602,1380.875,"RedDot"
46560,1570440.371,4782.347,1485.977,1345.611,"RedDot"
61744,820636.744,3545.942,1069.579,976.896,"Bullseye"
61710,549698.747,2886.994,908.755,770.173,"Bullseye"
61776,711619.678,3300.855,1120.853,808.368,"Bullseye"
61747,818881.64,3469.974,1076.033,968.959,"Bullseye"
61741,850824.543,3563.958,1065.489,1016.72,"Bullseye"
46583,1632924.338,4960.121,1563.383,1329.875,"RedDot"
61841,969870.777,3999.74,1237.185,998.135,"RedDot"
61740,644925.705,3110.873,1063.837,771.871,"Bullseye"
61719,554412.456,2887.705,985.765,716.093,"H335"
46567,1574286.307,4971.537,1513.704,1324.198,"RedDot"
61738,812763.847,3524.195,1058.079,978.039,"Bullseye"
61836,968366.402,3746.651,1225.677,1005.944,"RedDot"
61831,985064.968,3903.742,1207.218,1038.937,"RedDot"
61792,994291.803,3763.955,1141.126,1109.405,"Reloader23"
46591,1847098.001,5209.401,1569.746,1498.203,"RedDot"
61848,899967.47,3665.233,1246.923,918.961,"Bullseye"
46578,1806940.44,5095.319,1542.875,1491.157,"RedDot"
61849,986920.364,3805.732,1247.005,1007.683,"RedDot"
61716,619501.762,3533.498,951.895,828.636,"Bullseye"
61791,992336.116,3748.074,1139.837,1108.475,"Reloader23"
61705,356436.662,2236.341,686.945,660.648,"H335"
46570,1792156.064,5098.039,1519.904,1501.308,"RedDot"
61772,766780.107,3714.889,1115.823,874.955,"Bullseye"
61728,601850.425,3060.8,1030.154,743.869,"Bullseye"
46553,1340333.546,4572.042,1347.288,1266.667,"RedDot"
61771,817327.118,3493.856,1114.426,933.802,"Bullseye"
61785,825551.037,3823.331,1128.779,931.205,"Bullseye"
61806,814067.639,3577.826,1158.942,894.353,"Bullseye"
61711,585402.588,3208.883,912.256,817.049,"Bullseye"
61739,661022.521,3291.43,1062.488,792.141,"Bullseye"
61726,458032.143,2930.193,1020.326,571.567,"Bullseye"
61727,723303.66,3276.678,1024.289,899.101,"Bullseye"
61818,980501.696,3829.909,1182.187,1056.02,"Reloader23"
61762,805342.262,3449.945,1099.843,932.309,"Bullseye"
61765,739851.789,3374.393,1106.936,851.006,"Bullseye"
61820,858797.732,3669.971,1187.586,920.738,"Bullseye"
61760,856240.294,3598.15,1094.529,996.044,"Bullseye"
61709,559928.499,2861.098,868.367,820.992,"Bullseye"
61755,668444.106,3555.957,1090.885,780.183,"Bullseye"
61781,970422.382,3735.924,1126.34,1096.986,"Reloader23"
61778,777812.193,3404.854,1122.49,882.272,"Bullseye"
46582,1767432.192,5050.784,1557.85,1444.532,"RedDot"
61713,592874.319,2970.252,926.592,814.675,"Bullseye"
61830,1056322.213,4024.039,1207.106,1114.195,"Reloader23"
