"X","Area","Perim.","Major","Minor","Predicted_Brand"
46711,1752398.08,5069.059,1523.611,1464.431,"RedDot"
46679,1667687.601,5083.61,1496.365,1419.016,"RedDot"
43812,713146.353,4101.164,1156.484,785.144,"Bullseye"
43800,603412.319,3078.445,975.261,787.777,"Bullseye"
43816,913684.426,4513.789,1381.22,842.255,"Bullseye"
43820,1273104.593,5620.189,1748.567,927.026,"Bullseye"
46695,1717135.345,5083.488,1506.218,1451.533,"RedDot"
43813,752854.389,3540.333,1191.837,804.275,"Bullseye"
43805,681080.24,3369.418,1008.346,860,"Bullseye"
43798,637576.214,3318.024,971.358,835.724,"Bullseye"
43780,528641.336,2970.218,898.302,749.288,"BL-C(2)"
43786,566401.431,3140.839,904.976,796.888,"Bullseye"
46725,1780418.468,5213.835,1571.979,1442.067,"RedDot"
43817,1083704.749,4322.347,1418.547,972.696,"Bullseye"
43809,619844.953,3703.678,1028.618,767.254,"Bullseye"
43819,753603.598,5337.496,1520.47,631.067,"Bullseye"
46667,1659446.31,4845.035,1485.202,1422.617,"RedDot"
43821,1269358.552,5955.159,1765.001,915.692,"Bullseye"
46713,1753047.393,5134.882,1527.059,1461.666,"RedDot"
46650,1669885.278,4894.298,1465.117,1451.191,"RedDot"
46719,1816879.936,5146.592,1555.258,1487.421,"RedDot"
43806,728030.623,3340.439,1018.439,910.175,"Bullseye"
46716,1697855.719,4963.257,1543.502,1400.566,"RedDot"
43818,802601.817,4652,1514.628,674.69,"H335"
43606,492579.446,2722.775,806.616,777.534,"BL-C(2)"
43814,852898.663,4027.771,1192.248,910.837,"Bullseye"
43795,635478.431,3581.733,956.265,846.122,"Bullseye"
43801,603112.635,3174.252,976.054,786.746,"Bullseye"
46680,1705597.538,4896.724,1496.433,1451.207,"RedDot"
43792,588128.47,3999.502,937.197,799.008,"Bullseye"
43804,630184.026,3086.431,995.247,806.207,"Bullseye"
46715,1775973.166,5290.952,1538.201,1470.055,"RedDot"
43803,685325.753,3714.383,991.096,880.423,"Bullseye"
46732,1828068.112,6540.536,1715.858,1356.504,"RedDot"
46721,1756393.857,5051.789,1564.761,1429.17,"RedDot"
43811,888061.504,4285.209,1147.782,985.13,"Bullseye"
43790,569997.631,3221.507,921.726,787.375,"BL-C(2)"
43807,752255.023,3827.167,1023.82,935.517,"Bullseye"
46645,1630327.083,4998.091,1455.619,1426.058,"RedDot"
