"X","Area","Perim.","Major","Minor","Predicted_Brand"
23381,329252.049,2137.105,655.64,639.401,"BL-C(2)"
23916,342488.061,2179.509,673.975,647.012,"BL-C(2)"
23215,222015.376,1759.314,545.902,517.82,"BL-C(2)"
24038,472250.929,2569.009,797.926,753.564,"H335"
24015,431543.948,2440.792,748.38,734.198,"BL-C(2)"
23944,369509.505,2273.601,691.772,680.1,"H335"
23192,174265.837,1554.57,483.161,459.23,"H335"
23934,353726.185,2219.488,685.546,656.963,"BL-C(2)"
23310,302030.816,2048.867,623.385,616.886,"BL-C(2)"
23271,262922.146,1917.515,600.401,557.565,"H335"
23584,514506.274,2704.501,837.193,782.483,"Bullseye"
23681,241195.107,1854.117,593.079,517.805,"H335"
23621,224362.895,1771.734,545.491,523.689,"BL-C(2)"
23472,359270.326,2251.187,699.581,653.874,"H335"
23507,376202.432,2298.441,726.693,659.144,"H335"
23261,257178.216,1882.387,593.289,551.922,"BL-C(2)"
24012,386841.189,2346.7,747.783,658.669,"H335"
23230,229757.194,1784.154,560.058,522.331,"BL-C(2)"
23928,339940.753,2187.789,682.199,634.457,"H335"
23770,290742.745,2010.603,625.428,591.891,"BL-C(2)"
23480,345834.525,2226.053,707.721,622.181,"H335"
23399,338692.073,2183.943,665.812,647.685,"BL-C(2)"
23379,323807.802,2119.541,654.342,630.076,"BL-C(2)"
24033,466606.894,2561.439,786.786,755.101,"H335"
23819,308024.482,2061.287,641.684,611.187,"H335"
23483,365763.464,2288.446,708.811,657.022,"H335"
23766,260175.049,1921.655,624.484,530.462,"H335"
23447,362267.159,2286.731,687.612,670.804,"H335"
23669,261124.046,1904.091,586.6,566.78,"BL-C(2)"
24005,394283.324,2365.685,740.574,677.876,"H335"
23619,203584.853,1696.211,542.605,477.718,"H335"
23891,339990.701,2170.224,664.566,651.387,"BL-C(2)"
23720,275758.581,1974.764,609.206,576.335,"BL-C(2)"
23666,265918.979,1912.371,583.897,579.86,"BL-C(2)"
23975,352677.293,2291.876,709.296,633.082,"H335"
23695,252633.019,1885.816,597.835,538.045,"H335"
23224,217520.126,1744.175,555.996,498.125,"H335"
24018,413113.425,2416.663,755.366,696.341,"H335"
23936,334396.612,2172.944,686.261,620.415,"H335"
23615,223613.687,1751.745,541.832,525.465,"BL-C(2)"
23870,315616.459,2095.411,657.144,611.518,"H335"
23589,164326.341,1507.021,468.966,446.145,"BL-C(2)"
23248,244042.098,1857.547,585.125,531.039,"H335"
24036,434840.464,2480.477,790.69,700.219,"H335"
23721,274709.689,1972.339,609.428,573.934,"BL-C(2)"
23342,296386.781,2037.158,636.686,592.711,"H335"
24040,461811.961,2566.289,799.306,735.635,"H335"
23340,299883.086,2044.727,635.562,600.764,"H335"
23880,314267.884,2200.503,660.887,605.456,"H335"
23596,196192.665,1656.942,501.481,498.125,"BL-C(2)"
23778,294538.734,2035.443,628.883,596.324,"H335"
23536,426948.804,2424.943,747.592,727.145,"H335"
23717,278205.994,1968.199,608.233,582.38,"BL-C(2)"
23532,378050.479,2305.006,744.101,646.886,"H335"
24046,495526.332,2653.106,818.557,770.776,"Bullseye"
23706,275159.214,1979.909,603.675,580.351,"BL-C(2)"
23466,377850.69,2302.581,697.316,689.923,"H335"
23412,346933.364,2229.482,670.658,658.651,"BL-C(2)"
23349,301281.608,2055.432,639.805,599.563,"H335"
23423,326954.477,2147.81,675.989,615.826,"H335"
23791,304228.494,2055.432,632.493,612.427,"BL-C(2)"
23207,212974.93,1711.766,529.959,511.678,"BL-C(2)"
23328,302580.236,2071.282,630.518,611.017,"BL-C(2)"
23780,305926.699,2058.862,630.217,618.07,"BL-C(2)"
23354,284199.66,2011.313,641.573,564.011,"H335"
23411,332148.988,2141.245,670.634,630.605,"H335"
23515,402324.826,2385.968,733.109,698.744,"H335"
23841,301781.08,2044.727,648.162,592.814,"H335"
23574,467905.521,2554.874,808.314,737.035,"H335"
23661,262122.99,1917.515,581.129,574.306,"BL-C(2)"
23708,279754.358,1980.619,604.737,589.007,"BL-C(2)"
23711,280903.144,1976.479,606.556,589.652,"BL-C(2)"
23498,384793.353,2328.425,717.917,682.438,"H335"
23807,316765.245,2091.271,638.239,631.923,"BL-C(2)"
23205,208879.258,1699.346,523.366,508.159,"BL-C(2)"
23640,245940.092,1844.123,563.905,555.308,"BL-C(2)"
23994,384144.04,2331.855,727.021,672.756,"H335"
23719,276208.105,1968.199,608.911,577.554,"BL-C(2)"
23432,340889.75,2171.229,681.815,636.587,"H335"
23441,331050.149,2157.805,685.713,614.698,"H335"
23538,391586.175,2337.71,748.936,665.722,"H335"
23398,313218.993,2093.696,665.365,599.374,"H335"
23752,293190.159,2018.883,620.017,602.082,"BL-C(2)"
23234,231954.872,1800.714,563.929,523.708,"BL-C(2)"
23694,263871.143,1905.806,597.785,562.027,"BL-C(2)"
23448,359869.693,2243.617,688.085,665.907,"H335"
23474,360119.429,2234.333,702.182,652.991,"H335"
23263,256628.797,1891.671,595.081,549.084,"H335"
23387,329152.155,2129.535,658.911,636.033,"BL-C(2)"
23971,340390.278,2199.498,705.598,614.228,"H335"
23604,206581.686,1693.491,519.67,506.144,"BL-C(2)"
23438,327104.319,2164.664,684.983,608.018,"H335"
23835,321060.706,2128.115,646.395,632.411,"BL-C(2)"
23762,288445.173,2002.323,623.317,589.202,"BL-C(2)"
23790,299383.614,2037.158,632.477,602.689,"BL-C(2)"
23911,337493.34,2164.664,672.289,639.174,"H335"
23217,215222.555,1755.175,548.637,499.474,"H335"
23314,290742.745,2018.883,625.443,591.876,"BL-C(2)"
23818,295188.048,2014.033,641.258,586.106,"H335"
23212,217570.074,1733.47,537.298,515.578,"BL-C(2)"
23339,285548.235,2004.748,635.386,572.205,"H335"
23501,392485.225,2350.129,721.151,692.959,"H335"
23764,276607.683,1973.344,623.655,564.716,"H335"
23599,151689.696,1472.481,509.186,379.306,"BL-C(2)"
23489,370308.661,2270.172,711.754,662.436,"BL-C(2)"
23400,347183.1,2190.214,666.201,663.535,"BL-C(2)"
23464,354974.865,2239.477,696.249,649.148,"H335"
23946,345385,2244.327,692.921,634.643,"H335"
23610,216171.552,1729.33,529.928,519.388,"BL-C(2)"
23213,213873.98,1712.476,539.406,504.838,"H335"
23494,385942.139,2316.005,715.59,686.702,"H335"
24017,423252.71,2473.912,751.455,717.145,"BL-C(2)"
24031,466856.63,2529.74,784.354,757.847,"H335"
23347,308723.743,2072.997,638.81,615.331,"BL-C(2)"
23492,371057.869,2273.601,715.215,660.565,"BL-C(2)"
23750,286147.601,2003.034,619.649,587.969,"BL-C(2)"
23952,370908.027,2292.88,696.724,677.822,"BL-C(2)"
23997,378599.899,2314.29,728.457,661.739,"H335"
23374,312619.626,2082.991,651.815,610.663,"H335"
24000,383294.937,2355.984,730.392,668.17,"H335"
23323,296786.359,2045.438,628.669,601.079,"H335"
23649,239646.743,1824.133,573.322,532.21,"BL-C(2)"
23388,313418.782,2121.255,659.719,604.89,"H335"
23894,334896.084,2164.664,665.521,640.706,"H335"
23355,306725.855,2050.582,642.285,608.041,"H335"
23491,371557.341,2281.881,714.806,661.832,"BL-C(2)"
23897,330350.888,2147.81,666.59,630.996,"H335"
23875,332598.513,2147.1,658.917,642.687,"BL-C(2)"
23528,392784.908,2353.559,742.369,673.666,"H335"
23667,253332.28,1879.961,584.048,552.271,"BL-C(2)"
23930,359669.904,2233.622,683.221,670.275,"BL-C(2)"
23343,316165.878,2087.131,637.29,631.667,"BL-C(2)"
23737,276857.419,1967.195,615.648,572.577,"BL-C(2)"
23628,233553.183,1801.719,553.418,537.332,"BL-C(2)"
23437,322559.122,2133.675,684.633,599.876,"H335"
23908,346983.311,2189.504,670.244,659.153,"BL-C(2)"
24016,435240.042,2464.211,749.415,739.463,"BL-C(2)"
23783,310272.107,2072.997,631.412,625.662,"BL-C(2)"
23995,382995.254,2304.296,727.545,670.26,"H335"
23389,318613.292,2142.96,660.518,614.171,"H335"
23226,237099.435,1804.854,557.828,541.178,"BL-C(2)"
23451,342088.484,2195.358,689.308,631.881,"H335"
23883,329252.049,2131.25,662.384,632.89,"BL-C(2)"
23898,332898.196,2168.804,667.022,635.45,"H335"
23503,385492.614,2322.57,722.042,679.773,"H335"
23951,373205.599,2272.597,696.717,682.027,"BL-C(2)"
23367,286047.707,2008.888,649.781,560.508,"H335"
23333,291342.112,2003.034,631.894,587.042,"H335"
23747,276957.314,1959.919,619.315,569.392,"BL-C(2)"
23838,293090.265,2022.313,646.664,577.076,"H335"
23189,175714.307,1568.705,475.899,470.113,"H335"
23889,330151.099,2142.96,663.203,633.835,"H335"
23543,411415.22,2420.092,752.211,696.387,"H335"
23482,368560.508,2260.887,708.577,662.265,"H335"
23734,281952.035,1978.194,613.149,585.49,"BL-C(2)"
23606,205682.636,1694.496,522.734,500.988,"BL-C(2)"
23731,282950.98,1994.754,612.64,588.052,"BL-C(2)"
23191,176813.145,1555.28,481.731,467.326,"H335"
23926,348681.516,2222.207,681.005,651.911,"BL-C(2)"
23974,376352.274,2296.016,706.953,677.82,"BL-C(2)"
23824,311620.682,2090.561,643.277,616.792,"BL-C(2)"
23964,364564.731,2275.316,702.576,660.68,"H335"
23614,220017.487,1745.18,541.283,517.539,"BL-C(2)"
23394,340140.542,2188.793,662.931,653.281,"BL-C(2)"
24025,423452.499,2450.787,773.307,697.208,"H335"
23978,382495.781,2330.14,712.125,683.881,"H335"
23851,325605.902,2135.39,650.771,637.051,"BL-C(2)"
23828,316016.037,2094.701,644.649,624.16,"BL-C(2)"
23214,229307.669,1781.729,543.677,537.016,"BL-C(2)"
23358,317914.031,2101.266,645.363,627.214,"BL-C(2)"
