"X","Area","Perim.","Major","Minor","Predicted_Brand"
24221,299183.825,2039.877,646.798,588.951,"H335"
69309,1367155.201,4746.042,1489.999,1168.267,"Reloader23"
24142,262172.938,1908.231,618.227,539.946,"H335"
24190,310471.896,2072.997,634.866,622.659,"BL-C(2)"
24184,293739.578,2014.743,632.827,591,"H335"
24159,303978.758,2058.862,624.399,619.857,"BL-C(2)"
24260,329801.468,2144.38,655.77,640.34,"BL-C(2)"
69308,1441976.131,5094.853,1484.097,1237.103,"Reloader23"
24063,218918.648,1736.9,541.299,514.939,"BL-C(2)"
69321,1517945.847,4995.616,1638.822,1179.328,"Reloader23"
24154,288894.698,2003.034,622.447,590.945,"BL-C(2)"
24098,256778.638,1887.531,590.378,553.782,"BL-C(2)"
24220,284199.66,2024.027,646.529,559.687,"H335"
24209,287546.124,2008.888,642.001,570.272,"H335"
24160,293739.578,2044.727,624.507,598.874,"BL-C(2)"
24062,222664.69,1749.32,536.911,528.031,"BL-C(2)"
24104,267667.131,1947.205,594.139,573.611,"BL-C(2)"
24201,295787.414,2050.582,638.019,590.278,"H335"
24111,269515.178,1942.355,598.248,573.604,"BL-C(2)"
24240,328253.105,2157.805,652.852,640.183,"BL-C(2)"
69318,1581179.022,5096.689,1597.688,1260.083,"Reloader23"
24243,321660.072,2127.11,653.007,627.176,"BL-C(2)"
24088,248936.925,1861.687,579.94,546.533,"BL-C(2)"
24188,299083.93,2036.447,634.589,600.082,"H335"
24090,237648.855,1825.138,583.631,518.451,"H335"
24155,290093.432,2006.463,623.404,592.486,"BL-C(2)"
24261,302380.447,2098.841,655.968,586.923,"H335"
24106,269015.706,1933.365,596.076,574.627,"BL-C(2)"
69351,1789458.914,5551.718,1827.726,1246.582,"Reloader23"
24254,291941.479,2035.443,654.619,567.828,"H335"
69319,1425193.866,5201.365,1609.899,1127.16,"Reloader23"
24193,308573.902,2067.142,636.364,617.396,"BL-C(2)"
24144,284799.027,1994.754,618.815,585.986,"BL-C(2)"
24247,332099.04,2152.954,653.663,646.88,"BL-C(2)"
24168,290243.273,2001.319,628.165,588.3,"H335"
69325,1599259.915,5622.686,1657.203,1228.722,"Reloader23"
24217,313668.518,2092.986,645.483,618.723,"BL-C(2)"
24250,316365.667,2101.266,654.207,615.721,"BL-C(2)"
24195,313119.098,2096.416,636.638,626.22,"BL-C(2)"
24169,301781.08,2043.012,628.35,611.506,"BL-C(2)"
69332,1714288.354,5921.523,1709.277,1276.973,"Reloader23"
24103,255879.588,1878.957,593.888,548.582,"H335"
24072,217470.179,1759.314,559.402,494.978,"H335"
24216,319762.078,2097.126,644.435,631.768,"BL-C(2)"
24231,313518.676,2078.851,649.92,614.205,"BL-C(2)"
24080,237898.591,1822.418,568.314,532.983,"BL-C(2)"
69326,1488427.042,5204.916,1657.847,1143.124,"Reloader23"
69352,1863880.266,5749.603,1844.208,1286.821,"Reloader23"
24174,292440.951,2015.748,629.893,591.128,"H335"
24152,285448.34,1987.184,622.177,584.149,"BL-C(2)"
24156,286397.338,1991.324,623.602,584.752,"BL-C(2)"
24196,293939.367,2041.298,636.667,587.835,"BL-C(2)"
24179,294838.417,2048.867,631.508,594.45,"H335"
24211,322359.333,2107.121,642.624,638.694,"BL-C(2)"
24198,312070.207,2078.141,637.177,623.594,"BL-C(2)"
24113,265469.454,1914.086,600.023,563.322,"H335"
24225,294388.892,2045.438,647.604,578.791,"H335"
24249,315416.67,2111.261,654.084,613.99,"BL-C(2)"
24200,308923.532,2080.566,637.349,617.14,"BL-C(2)"
69314,1427741.174,4854.685,1513.431,1201.149,"Reloader23"
24258,308474.007,2074.711,654.853,599.77,"H335"
24131,268266.498,1921.655,611.13,558.912,"H335"
69333,1579780.5,5236.027,1718.582,1170.406,"Reloader23"
24256,308523.954,2082.991,654.755,599.957,"H335"
24180,277157.103,2049.577,631.52,558.791,"H335"
24253,309123.321,2091.565,654.592,601.272,"H335"
