"X","Area","Perim.","Major","Minor","Predicted_Brand"
7882,292790.581,2024.738,625.964,595.55,"BL-C(2)"
7910,316065.984,2095.411,638.893,629.883,"BL-C(2)"
7838,282901.032,1991.618,607.93,592.503,"BL-C(2)"
8137,199688.97,1663.507,504.687,503.782,"BL-C(2)"
8046,395681.847,2360.124,727.691,692.324,"H335"
7955,337892.917,2161.234,662.872,649.023,"H335"
7956,306576.013,2082.991,663.159,588.614,"H335"
8126,164476.183,1518.021,480.054,436.238,"BL-C(2)"
8019,364664.625,2257.041,704.583,658.979,"H335"
7735,216321.393,1745.18,537.818,512.123,"BL-C(2)"
7690,177012.934,1558.71,481.087,468.48,"H335"
8342,288644.962,2014.033,647.106,567.935,"H335"
7890,295737.467,2129.535,630.567,597.153,"H335"
8173,225261.945,1775.874,543.586,527.631,"BL-C(2)"
7746,217969.651,1757.305,546.508,507.819,"BL-C(2)"
7959,319362.5,2132.965,664.799,611.651,"H335"
7697,183106.495,1612.823,498.278,467.888,"BL-C(2)"
8334,309472.951,2072.997,643.416,612.409,"H335"
7693,183755.808,1592.834,489.472,477.995,"H335"
8387,336744.131,2161.234,673.493,636.615,"H335"
7979,347432.836,2228.772,679.215,651.289,"H335"
8251,265019.929,1941.645,606.933,555.966,"H335"
7977,318513.398,2122.97,675.556,600.311,"H335"
8524,509811.236,2697.936,885.509,733.038,"Bullseye"
8388,318763.134,2148.104,676.975,599.523,"H335"
7837,255629.852,1914.086,606.927,536.272,"H335"
8016,357022.701,2246.042,701.576,647.935,"H335"
7842,264820.14,1911.66,609.966,552.784,"H335"
8469,375852.802,2291.876,732.382,653.416,"H335"
8385,320561.233,2114.69,672,607.368,"H335"
8476,399877.413,2365.979,746.488,682.046,"H335"
8035,400127.149,2354.269,716.994,710.547,"H335"
7876,281202.827,1979.909,622.629,575.043,"BL-C(2)"
8314,267067.765,1944.78,632.834,537.331,"H335"
8280,296786.359,2028.878,618.99,610.479,"BL-C(2)"
7796,253282.333,1890.666,587.469,548.947,"BL-C(2)"
8286,301431.45,2044.727,622.093,616.94,"BL-C(2)"
8322,272861.642,1965.48,635.332,546.83,"H335"
8147,175414.623,1579.41,517.416,431.654,"BL-C(2)"
8186,242893.312,1837.557,556.997,555.23,"BL-C(2)"
8321,309972.424,2071.282,635.083,621.445,"BL-C(2)"
8067,374454.28,2291.876,748.344,637.1,"H335"
8525,605160.471,2944.79,926.009,832.081,"Bullseye"
7856,274709.689,1964.059,616.634,567.227,"BL-C(2)"
7921,320311.497,2188.793,641.776,635.476,"BL-C(2)"
7689,176813.145,1572.55,480.584,468.441,"H335"
8495,440384.605,2490.766,770.833,727.414,"H335"
8148,203285.17,1681.072,517.669,499.992,"BL-C(2)"
8349,299982.98,2051.292,650.673,587.008,"H335"
7972,354974.865,2219.488,673.147,671.425,"BL-C(2)"
8279,286047.707,1989.903,618.029,589.305,"BL-C(2)"
8409,279204.938,2028.167,685.917,518.276,"H335"
8420,327354.055,2160.94,694.522,600.126,"H335"
7818,261523.624,1912.371,598.499,556.363,"H335"
8185,238797.641,1815.853,556.95,545.914,"BL-C(2)"
7975,330250.993,2161.234,674.845,623.089,"H335"
8175,223663.634,1879.251,544.921,522.603,"BL-C(2)"
8127,180409.345,1575.27,489.234,469.518,"BL-C(2)"
8040,355973.81,2252.902,721.25,628.409,"H335"
7995,350779.299,2203.638,687.744,649.407,"H335"
7930,284099.766,2017.878,645.72,560.192,"H335"
7815,264520.457,1929.225,596.338,564.777,"H335"
7968,292540.845,2065.721,669.321,556.496,"H335"
8307,309173.268,2082.991,631.244,623.612,"BL-C(2)"
7743,223563.74,1759.314,542.96,524.256,"BL-C(2)"
8320,276557.736,1978.194,634.467,554.993,"H335"
7993,349780.355,2221.913,685.954,649.248,"H335"
8308,287895.754,2006.463,631.324,580.622,"H335"
8319,295287.942,2040.587,633.957,593.056,"H335"
7751,229507.458,1781.729,551.044,530.298,"BL-C(2)"
7942,318213.714,2129.535,653.302,620.176,"BL-C(2)"
8025,358720.907,2237.052,709.564,643.688,"H335"
7721,218519.071,1753.46,530.192,524.766,"BL-C(2)"
7683,160330.564,1490.462,452.847,450.791,"BL-C(2)"
7850,274060.375,1955.779,614.898,567.483,"BL-C(2)"
8139,189949.263,1626.958,505.73,478.222,"H335"
8150,203085.381,1675.217,520.078,497.188,"BL-C(2)"
7696,191147.996,1616.963,498.03,488.679,"BL-C(2)"
8430,306625.96,2102.981,699.203,558.362,"H335"
7813,268566.181,1936.5,595.383,574.335,"BL-C(2)"
8278,265619.296,1923.076,617.958,547.281,"H335"
8518,477145.756,2636.252,832.262,729.964,"Bullseye"
8087,455268.875,2550.44,784.871,738.55,"BL-C(2)"
7710,202086.437,1691.066,520.536,494.307,"BL-C(2)"
7986,340739.909,2183.649,682.338,635.819,"H335"
8425,335445.504,2160.23,697.583,612.26,"H335"
8427,363166.209,2239.477,698.944,661.566,"H335"
7841,274859.531,1952.35,609.522,574.159,"BL-C(2)"
7814,229907.036,1811.713,595.809,491.31,"H335"
8205,240945.371,1831.703,567.258,540.815,"BL-C(2)"
8284,264270.721,1922.365,620.752,542.052,"H335"
8142,201986.542,1675.927,509.888,504.38,"BL-C(2)"
7998,326355.11,2151.534,689.934,602.272,"H335"
8509,486086.308,2622.412,799.737,773.885,"Bullseye"
8096,421454.61,2472.491,800.655,670.217,"H335"
7836,283800.082,1978.904,606.525,595.764,"BL-C(2)"
8302,292990.37,2014.743,627.28,594.705,"H335"
8292,289194.382,2024.738,624.662,589.461,"BL-C(2)"
7935,314068.095,2103.691,649.228,615.937,"BL-C(2)"
8260,287246.44,1996.468,609.736,599.823,"BL-C(2)"
8439,369459.558,2284.306,703.654,668.525,"H335"
8191,230156.772,1776.879,560.019,523.276,"BL-C(2)"
8510,443131.702,2497.331,804.777,701.08,"H335"
7947,294588.681,2063.002,656.354,571.463,"H335"
7961,319112.764,2118.83,665.263,610.746,"H335"
