"X","Area","Perim.","Major","Minor","Predicted_Brand"
28378,22077.691,759.2,220.016,127.765,"BL-C(2)"
28379,490903.949,2880.226,824.121,758.43,"Bullseye"
28380,488073.9321,2842.5552,846.8797,733.7937,"Bullseye"
28381,456104.7408,2823.7921,862.7861,673.0875,"Bullseye"
28382,522012.9838,2862.8728,897.4596,740.5878,"Bullseye"
28383,540480.4243,3010.2924,922.786,745.7428,"Bullseye"
28384,568468.8563,3038.4924,928.7665,779.31,"Bullseye"
28385,576594.5301,3048.8397,930.9809,788.5693,"Bullseye"
28386,575486.4837,3076.9293,932.8398,785.4855,"Bullseye"
28387,551642.9661,3001.3432,936.3485,750.1199,"Bullseye"
28388,561492.2677,3030.7204,954.1107,749.299,"Bullseye"
28389,610802.149,3269.765,958.396,811.458,"Bullseye"
28390,583940.4675,3095.9591,967.8965,768.1566,"Bullseye"
28391,607031.765,3263.753,976.597,791.418,"Bullseye"
28392,600328.861,3098.72,976.665,782.625,"Bullseye"
28393,609876.9617,3145.0101,980.0226,792.3485,"Bullseye"
28394,625087.714,3170.378,982.94,809.7,"Bullseye"
28395,603051.916,3290.563,987.438,777.598,"Bullseye"
28396,592353.4126,3226.5471,991.3902,760.7577,"Bullseye"
28397,613406.2948,3234.0523,994.3599,785.4431,"Bullseye"
28398,574009.0884,3123.4048,996.3288,733.544,"Bullseye"
28399,597940.952,3182.942,1000.832,760.689,"Bullseye"
28400,600314.9314,3171.9224,1007.9771,758.2957,"Bullseye"
28401,621655.0848,3348.7192,1009.2977,784.2244,"Bullseye"
28402,633433.208,3233.1418,1011.0618,797.6883,"Bullseye"
28403,590219.3973,3107.5942,1014.3506,740.8589,"Bullseye"
28404,583817.3513,3196.9031,1017.6747,730.4292,"Bullseye"
28405,598960.6525,3206.8733,1018.8642,748.5005,"Bullseye"
28406,621149.758,3341.423,1022.281,773.635,"Bullseye"
28407,638275.7813,3291.8963,1034.2072,785.798,"Bullseye"
28408,595267.1644,3191.5961,1035.0212,732.2726,"Bullseye"
28409,628713.751,3258.1225,1039.9911,769.7212,"Bullseye"
28410,660445.534,3441.191,1041.627,807.3,"Bullseye"
28411,620605.147,3283.091,1045.117,756.068,"Bullseye"
28412,652187.9197,3305.3524,1045.4905,794.2601,"Bullseye"
28413,656168.6791,3334.0858,1046.3581,798.4455,"Bullseye"
