"X","Area","Perim.","Major","Minor","Predicted_Brand"
44352,676185.413,3774.352,1132.205,760.415,"Bullseye"
9479,528541.442,2796.168,858.085,784.258,"BL-C(2)"
9452,392984.697,2397.678,774.945,645.676,"H335"
9457,470702.565,2587.994,780.375,767.986,"BL-C(2)"
9414,374704.016,2283.596,725.662,657.452,"H335"
9422,398478.891,2354.269,730.221,694.802,"H335"
9361,355374.443,2213.633,686.424,659.179,"H335"
44328,640722.889,3099.145,931.899,875.41,"Bullseye"
9456,445579.116,2522.465,777.473,729.709,"BL-C(2)"
44337,631482.654,3578.892,956.668,840.447,"Bullseye"
9442,429895.69,2463.207,759.076,721.087,"BL-C(2)"
44239,498673.006,2919.534,849.204,747.677,"BL-C(2)"
44346,666795.336,3708.234,1024.253,828.887,"Bullseye"
9480,476346.601,2626.258,858.124,706.779,"H335"
9354,358221.434,2236.048,681.624,669.14,"BL-C(2)"
9460,462711.011,2534.885,786.293,749.265,"BL-C(2)"
44351,788167.071,3538.618,1092.503,918.556,"Bullseye"
9455,419756.405,2473.912,776.075,688.658,"H335"
9374,370158.819,2272.891,694.778,678.347,"BL-C(2)"
9406,389937.917,2335.995,716.697,692.739,"BL-C(2)"
9319,332998.09,2181.934,661.65,640.802,"H335"
44266,575341.983,2972.643,860.527,851.279,"Bullseye"
9407,380098.315,2299.445,719.577,672.557,"BL-C(2)"
9425,365763.464,2253.612,732.399,635.862,"H335"
9435,418657.566,2466.636,744.31,716.169,"BL-C(2)"
44296,564703.226,2877.841,874.762,821.941,"Bullseye"
9363,338742.02,2250.182,686.857,627.933,"H335"
9483,557261.091,2828.577,892.085,795.358,"BL-C(2)"
9212,283350.557,2010.603,611.493,589.987,"H335"
9366,343337.164,2202.634,688.26,635.153,"H335"
44212,526243.87,2752.049,841.258,796.467,"H335"
9379,309522.899,2289.451,697.833,564.744,"H335"
9330,336044.87,2226.053,668.59,639.952,"H335"
9474,478644.173,2580.718,817.17,745.779,"H335"
44283,563254.757,2935.384,866.653,827.503,"Bullseye"
44353,782672.877,5257.366,1187.968,838.852,"Bullseye"
44341,721237.802,4778.086,975.298,941.567,"Bullseye"
44332,642970.514,3435.536,947.359,864.145,"Bullseye"
44356,863187.79,4539.927,1315.897,835.206,"Bullseye"
44247,538131.307,2805.452,852.488,803.73,"H335"
9299,327254.16,2154.669,652.931,638.158,"H335"
9371,360568.954,2239.477,691.465,663.939,"BL-C(2)"
9478,479992.747,2616.557,841.685,726.098,"H335"
9277,296686.464,2046.442,642.294,588.131,"H335"
9258,310971.368,2078.851,636.072,622.479,"H335"
44294,566751.062,2991.922,873.929,825.708,"Bullseye"
9384,356573.176,2231.197,699.2,649.318,"H335"
9427,375553.118,2327.715,735.424,650.195,"H335"
44308,570497.103,2984.353,885.733,820.089,"Bullseye"
9468,453820.406,2520.75,799.507,722.723,"H335"
9466,442632.23,2529.03,798.462,705.828,"H335"
9484,531438.38,2804.864,930.721,727.015,"H335"
9311,334346.665,2163.659,658.304,646.667,"H335"
9432,410516.17,2395.963,739.589,706.724,"H335"
9412,377251.324,2311.155,724.878,662.638,"H335"
9441,422553.449,2430.087,758.595,709.221,"BL-C(2)"
9373,354475.393,2221.913,694.706,649.673,"H335"
9351,351378.666,2200.503,680.585,657.36,"H335"
9469,490132.032,2619.277,801.669,778.445,"H335"
9357,352277.716,2223.628,685.212,654.592,"H335"
44349,770585.651,3424.953,1076.679,911.265,"Bullseye"
9475,460813.016,2553.87,822.037,713.746,"H335"
44258,556362.041,2935.089,856.904,826.676,"Bullseye"
9400,319712.131,2167.505,711.467,572.156,"H335"
44316,576191.086,2925.095,894.752,819.925,"Bullseye"
44350,768787.551,4656.434,1079.005,907.179,"Bullseye"
44343,617747.17,3174.252,980.703,802.017,"Bullseye"
9467,481491.164,2609.404,799.396,766.896,"H335"
44280,540279.037,2803.027,865.798,794.533,"BL-C(2)"
44318,593422.875,2914.39,895.602,843.645,"Bullseye"
9402,361767.687,2251.897,714.187,644.953,"H335"
9165,257078.322,1894.096,592.906,552.064,"H335"
44354,638425.317,3676.119,1189.823,683.185,"Bullseye"
44310,541128.14,3181.528,886.486,777.21,"BL-C(2)"
44339,662849.506,3082.291,966.022,873.651,"Bullseye"
9476,513207.646,2743.769,823.9,793.101,"BL-C(2)"
9482,461062.753,2577.289,863.893,679.532,"H335"
9471,450423.995,2519.745,808.591,709.255,"H335"
9437,428497.168,2442.507,748.476,728.92,"BL-C(2)"
9378,315816.248,2154.669,696.957,576.951,"H335"
44338,617897.011,3101.57,962.921,817.025,"Bullseye"
44179,526543.553,2788.893,828.483,809.209,"H335"
9461,474848.184,2575.574,789.955,765.354,"BL-C(2)"
9398,353126.818,2233.622,711.149,632.238,"H335"
9446,437687.455,2491.77,768.865,724.81,"BL-C(2)"
9477,487035.305,2629.687,830.873,746.339,"H335"
44347,746910.671,4176.393,1066.91,891.356,"Bullseye"
9372,336794.079,2176.079,692.775,618.988,"H335"
9280,315966.09,2107.121,642.778,625.878,"H335"
44306,567899.848,2887.125,883.744,818.192,"Bullseye"
44333,675086.574,3875.009,949.902,904.88,"Bullseye"
9445,431394.106,2474.206,762.538,720.316,"BL-C(2)"
9254,306176.435,2053.007,634.252,614.639,"H335"
9439,414362.105,2401.818,752.005,701.568,"H335"
9240,286147.601,2008.888,623.359,584.469,"H335"
