"X","Area","Perim.","Major","Minor","Predicted_Brand"
64065,1403532.04,4505.745,1409.955,1267.439,"RedDot"
64093,1364719.156,4496.859,1425.547,1218.91,"RedDot"
64029,1316980.312,4388,1385.303,1210.443,"RedDot"
64091,1439586.902,4569.686,1424.262,1286.939,"RedDot"
64092,1302387.872,4367.554,1425.444,1163.323,"RedDot"
64108,1459494.802,4610.456,1433.89,1295.976,"RedDot"
64059,1443397.986,4596.293,1408.659,1304.639,"RedDot"
64118,1431048.678,4615.87,1439.384,1265.866,"RedDot"
69430,1716585.926,5368.972,1709.13,1278.794,"Reloader23"
64045,1385087.25,4531.019,1401.848,1258.016,"RedDot"
64030,1393252.142,4472.977,1385.633,1280.24,"RedDot"
64104,1306750.56,4452.236,1431.89,1161.965,"RedDot"
64110,1299028.1,5023.189,1434.246,1153.201,"Reloader23"
64048,1391648.64,4570.126,1402.071,1263.775,"RedDot"
69436,1553907.842,5641.549,1735.895,1139.756,"Reloader23"
64136,1418625.939,4683.283,1445.246,1249.788,"RedDot"
64100,1367526.815,4730.071,1428.741,1218.688,"RedDot"
64147,1347620.762,4588.548,1447.009,1185.787,"RedDot"
64151,1413912.23,4547.939,1448.052,1243.221,"RedDot"
64129,1312968.645,4566.545,1442.882,1158.6,"RedDot"
64071,1460698.303,4640.917,1414.284,1315.025,"RedDot"
64044,1395008.579,4549.441,1401.237,1267.58,"RedDot"
69442,1676178.628,6586.857,1793.375,1190.034,"Reloader23"
64082,1345112.131,4434.515,1419.779,1206.279,"RedDot"
64077,1413583.335,4592.08,1415.612,1271.415,"RedDot"
64111,1449766.508,4653.239,1434.283,1286.984,"RedDot"
64046,1323499.272,4744.082,1402.026,1201.926,"RedDot"
64131,1364518.573,4495.019,1443.727,1203.385,"RedDot"
64003,54257.804,1304.447,316.634,218.18,"BL-C(2)"
64037,1362211.864,4470.842,1392.289,1245.734,"RedDot"
64081,1322446.209,4448.505,1418.543,1186.986,"RedDot"
64101,1455962.941,4603.009,1429.082,1297.189,"RedDot"
64025,1367427.032,4483.408,1380.935,1260.785,"RedDot"
69421,1547914.177,5191.908,1659.008,1187.978,"Reloader23"
64149,1463205.595,4719.315,1447.154,1287.362,"RedDot"
64114,1495014.306,4749.625,1437.841,1323.868,"RedDot"
64134,1490535.08,4704.024,1444.364,1313.941,"RedDot"
64098,1399720.956,4580.707,1427.726,1248.265,"RedDot"
69432,1686817.385,5482.465,1716.696,1251.079,"Reloader23"
69424,1585274.694,5200.776,1693.723,1191.714,"Reloader23"
69414,1512601.495,5020.577,1549.721,1242.742,"Reloader23"
64076,1452574.676,4947.22,1415.509,1306.58,"RedDot"
64072,1418020.99,4570.126,1414.981,1275.975,"RedDot"
64117,1440938.309,4789.104,1439.357,1274.638,"RedDot"
64139,1506581.75,4836.765,1445.745,1326.817,"RedDot"
64112,1493794.56,4665.684,1436.474,1324.046,"RedDot"
69427,1497767.171,5298.299,1702.105,1120.387,"Reloader23"
64004,665084.335,3715.895,1066.819,793.772,"Bullseye"
69426,1677677.044,5294.28,1699.946,1256.56,"Reloader23"
69434,1589120.63,5324.265,1724.967,1172.968,"Reloader23"
64125,1429407.296,4550.664,1441.905,1262.203,"RedDot"
69461,1802994.61,5518.304,1892.06,1213.304,"Reloader23"
69433,1623783.998,5227.747,1719.925,1202.068,"Reloader23"
64133,1384426.473,4481.69,1444.125,1220.605,"RedDot"
69458,1762787.1,5646.815,1863.186,1204.63,"Reloader23"
69416,1449168.53,4910.808,1584.932,1164.175,"Reloader23"
69446,1712690.043,5407.946,1801.077,1210.756,"Reloader23"
69413,1297079.257,4518.588,1427.081,1157.252,"RedDot"
64050,1413661.501,4652.233,1403.919,1282.075,"RedDot"
64064,1337953.013,4455.359,1409.812,1208.342,"RedDot"
64137,1447560.091,4591.139,1445.316,1275.217,"RedDot"
69447,1686317.913,6393.111,1804.238,1190.024,"Reloader23"
69462,1839905.602,5615.532,1893.123,1237.448,"Reloader23"
64083,1408997.937,4618.041,1420.912,1262.564,"RedDot"
64060,1362111.572,4482.575,1408.875,1230.978,"RedDot"
64090,1508487.292,4701.299,1424.159,1348.631,"RedDot"
64057,1288663.344,4445.368,1406.316,1166.72,"RedDot"
64123,1514554.94,4733.356,1441.046,1338.189,"RedDot"
69451,1738412.859,5545.863,1817.649,1217.736,"Reloader23"
64032,1397013.08,4490.993,1385.952,1283.401,"RedDot"
69431,1679924.669,5458.63,1713.314,1248.426,"Reloader23"
64079,1356717.955,4476.982,1416.997,1219.076,"RedDot"
64031,1282279.388,4308.89,1385.677,1178.232,"RedDot"
64113,1436427.714,4765.24,1436.816,1272.895,"RedDot"
64122,1476185.97,4612.669,1440.726,1304.577,"RedDot"
64086,1482461.599,4655.374,1422.905,1326.531,"RedDot"
64084,1380934.873,4577.757,1421.794,1236.65,"RedDot"
64145,1436976.117,4586.285,1446.686,1264.694,"RedDot"
69418,1491124.192,5230.05,1610.125,1179.137,"Reloader23"
64109,1383423.556,4624.619,1433.923,1228.399,"RedDot"
64022,1296972.12,4887.428,1379.113,1197.404,"Reloader23"
69452,1656599.319,6020.881,1831.744,1151.497,"Reloader23"
64040,1096798.156,6302.566,1395.053,1001.028,"RedDot"
